DateTime,Soil temperture at 2 inch below the soil surface (F),Soil data under the cover right on top of soil surface (F),Air temperature 1.5m (F),Dewpoint,Wind Chill,Wind Gust 10m,Wind Speed 10m,Wind Direction 10m,Pressure (mb),Pressure (inHg),Rainfall,Relative Humidity,Approximate Max,Solar Radiation,Snow cover,Turfgrass species,Mowing height,Location,Cover or not ,
2/1/2022 19:30,50,49.1,47.53,42.25,41.29,21.77,15.8,17.7,978.4,28.89,0,81.79,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 20:00,49.1,48.2,45.24,40.58,37.8,25.21,18.01,19.33,978.37,28.89,0,83.62,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 20:30,49.1,47.3,44.25,39.71,38.07,17.24,12.34,14.21,979.07,28.91,0,83.94,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 21:00,48.2,46.4,43.04,38.84,37.03,16.81,10.99,6.82,979.74,28.93,0,84.97,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 21:30,48.2,44.6,41.33,38.56,33.85,19.08,14.01,9.87,980.13,28.94,0,89.75,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 22:00,47.3,43.7,40.31,37.69,32.71,17.99,13.51,10.33,980.35,28.95,0,90.26,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 22:30,47.3,42.8,38.63,36.37,29.53,24.7,16.85,21.61,980.72,28.96,0.01,91.47,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 23:00,46.4,41.9,38.11,35.8,30.15,18.34,12.84,13.15,981.16,28.97,0.01,91.32,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/1/2022 23:30,46.4,40.1,36.63,34.28,26.77,23.38,17.43,16.93,981.22,28.98,0.02,91.09,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 0:00,45.5,39.2,34.97,32.21,24.5,24.27,17.82,14.18,982.02,29,0.03,89.54,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 0:30,45.5,39.2,34.53,31.41,24.78,23.38,15.15,23.86,981.95,29,0.03,88.21,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 1:00,44.6,38.3,33.88,30.9,24.85,21.18,12.73,359.6,982.65,29.02,0.03,88.67,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 1:30,44.6,38.3,32.94,29.6,22.65,20.38,15.39,4.24,982.9,29.03,0.03,87.36,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 2:00,43.7,37.4,32.32,29.68,21.19,24.11,17.4,13.23,982.39,29.01,0.03,89.86,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 2:30,43.7,36.5,31.98,29.54,20.21,24.85,19.13,19.52,982.93,29.03,0.03,90.59,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 3:00,42.8,36.5,31.19,29.24,20.39,20.89,15.44,9.38,983.21,29.03,0.03,92.36,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 3:30,42.8,36.5,30.52,28.41,19.79,23.47,14.73,11,983.38,29.04,0.03,91.75,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 4:00,42.8,35.6,29.97,27.74,19.18,21.05,14.48,359.5,984.12,29.06,0.03,91.27,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 4:30,41.9,34.7,29.5,27.59,18.77,20.18,14.03,357.7,984.33,29.07,0.03,92.44,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 5:00,41.9,34.7,28.59,26.8,18.97,16.3,11.02,3.19,984.63,29.08,0.03,92.89,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 5:30,41.9,33.8,27.22,25.17,15.99,21.34,13.73,5.96,985.13,29.09,0.03,91.87,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 6:00,41,32,26.62,23.75,14.52,22.21,15.44,9.93,985.19,29.09,0.03,88.75,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 6:30,41,32,26.35,22.42,12.67,26.89,19.71,16.1,985.36,29.1,0.03,84.83,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 7:00,40.1,31.1,25.92,22.16,14.5,17.24,13.38,20.22,985.63,29.11,0.03,85.41,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 7:30,40.1,32,25.78,22.3,14.26,22.08,13.51,23.96,986.9,29.14,0.03,86.44,0,0.37,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 8:00,40.1,32,26.05,20.46,14.28,20.47,14.26,21.79,987.01,29.15,0.03,79.04,61.5,7.2,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 8:30,39.2,32,25.36,21.02,12.98,23.67,15.27,17.6,987.23,29.15,0.03,83.32,153.27,17.06,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 9:00,39.2,32,25.39,20.36,12.44,22.08,16.72,26.39,988.01,29.18,0.03,80.93,254.8,31.19,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 9:30,39.2,33.8,25.87,20.84,13.6,21.05,15.35,28.69,988.11,29.18,0.03,80.96,353.78,91.18,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 10:00,39.2,33.8,25.72,20.91,12.63,24.63,17.4,22.07,988.34,29.19,0.03,81.69,444.44,88.63,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 10:30,39.2,33.8,25.6,21.31,13.31,21.47,15.2,18.7,988.64,29.19,0.03,83.52,523.46,90.1,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 11:00,39.2,33.8,25.28,21.16,13.5,19.08,13.79,17.12,989.39,29.22,0.03,84.11,588.59,66.64,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 11:30,39.2,33.8,25.15,21.19,13.67,19.89,13.03,10.91,989.26,29.21,0.03,84.66,638.24,84.92,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 12:00,39.2,34.7,25.13,20.62,11.47,23.47,18.52,16.99,989.05,29.21,0.03,82.72,671.28,112.74,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 12:30,39.2,34.7,25.2,20.56,13.1,23.89,14.46,19.51,988.98,29.2,0.03,82.27,687,93.65,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 13:00,39.2,34.7,25.37,20.27,13,21.41,15.22,11.29,989.17,29.21,0.03,80.7,685.07,102.03,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 13:30,39.2,34.7,24.93,19.06,12.6,19.73,14.85,21.35,989.38,29.22,0.03,78.01,665.52,71.34,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 14:00,39.2,32.9,24.25,18.68,11.1,21.41,16.39,6.32,989.35,29.22,0.03,78.98,628.77,55.85,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 14:30,38.3,32,24.01,18.41,10.76,22.44,16.47,8.61,988.96,29.2,0.03,78.83,575.63,47.92,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 15:00,38.3,32,23.99,18.99,10.11,25.95,18.14,16.63,988.87,29.2,0.03,80.92,507.3,56.62,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 15:30,38.3,32,23.46,19.56,10.78,21.99,14.7,23.9,988.87,29.2,0.03,84.76,425.51,49.18,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 16:00,38.3,31.1,22.51,19.52,8.25,21.56,17.99,16.05,988.98,29.2,0.03,88.08,332.7,29.97,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 16:30,38.3,30.2,21.85,19.25,9.62,22.79,12.78,23.01,989.01,29.21,0.03,89.55,232.54,24.51,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 17:00,37.4,31.1,20.78,17.31,5.24,25.86,20.07,19.81,989.03,29.21,0.03,86.18,131.72,15,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 17:30,37.4,32.9,20.12,17.13,5.22,24.7,17.76,17.26,989.02,29.21,0.03,87.97,44.83,6.3,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 18:00,36.5,29.3,19.68,16.44,4.13,26.46,19.15,15.8,989.03,29.21,0.03,86.95,0,0.36,Yes,Bermudagrass,"0.125""","Stilwlater, OK",Yes,
2/2/2022 18:30,36.5,31.1,19.28,16.06,3.17,27.18,20.36,14.42,989.33,29.22,0.03,87.03,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 19:00,36.5,32,18.46,15.31,1.99,29.59,20.67,17.93,989.75,29.23,0.03,87.25,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 19:30,35.6,32.9,18.22,15.36,3.48,22.08,16.03,8.45,990.5,29.25,0.03,88.32,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 20:00,35.6,32,17.51,14.63,2.3,24.34,16.64,15,990.95,29.26,0.03,88.23,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 20:30,35.6,31.1,17.47,14.6,3.76,18.48,13.41,11.55,991.46,29.28,0.03,88.26,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 21:00,35.6,32,17.28,14.71,3.64,16.73,13.15,10.87,992.25,29.3,0.03,89.42,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 21:30,35.6,32.9,17.19,14.6,4.22,15.05,11.88,10.46,992.79,29.32,0.03,89.37,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 22:00,34.7,32.9,17.08,14.58,3.66,17.32,12.64,8.59,992.88,29.32,0.03,89.71,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 22:30,34.7,33.8,16.93,14.39,3.83,17.46,12.01,1.58,993.36,29.33,0.03,89.5,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 23:00,34.7,33.8,16.86,14.35,2.58,19.44,14.2,6.83,993.01,29.32,0.03,89.64,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/2/2022 23:30,34.7,33.8,16.93,14.23,2.28,20.83,15.02,11.54,992.51,29.31,0.03,88.9,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 0:00,34.7,33.8,16.99,13.8,0.81,25.37,18.63,14.87,992.66,29.31,0.03,87.01,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 0:30,34.7,33.8,16.84,13.42,1.51,23.17,16.48,16.19,993.02,29.32,0.03,86.1,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 1:00,34.7,33.8,16.3,13.33,1.37,19.8,15.24,15.33,992.39,29.31,0.03,87.8,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 1:30,33.8,33.8,16.21,13,1.6,21.41,14.52,16.15,992.88,29.32,0.03,86.88,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 2:00,33.8,33.8,16.16,12.43,1.06,22.28,15.52,13.79,992.78,29.32,0.03,84.9,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 2:30,33.8,33.8,15.73,11.94,0.86,20.54,14.76,12.91,992.42,29.31,0.03,84.65,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 3:00,33.8,33.8,15.31,11.45,0.1,19.44,15.24,13.79,993.14,29.33,0.03,84.35,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 3:30,33.8,33.8,15.04,10.79,-0.71,20.83,16.24,13.97,992.88,29.32,0.03,82.86,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 4:00,33.8,33.8,14.85,9.92,-1.34,22.57,17.1,20.13,992.18,29.3,0.03,80.42,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 4:30,33.8,33.8,14.88,9.57,-0.58,20.89,15.52,20.65,992.34,29.3,0.03,79.03,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 5:00,33.8,33.8,14.79,9.29,-1.66,29.01,17.68,14.69,992.47,29.31,0.03,78.35,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 5:30,33.8,33.8,14.5,8.59,-1.29,22.5,15.99,15.37,992.66,29.31,0.03,76.9,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 6:00,33.8,33.8,14.32,8.08,-2.4,24.56,17.99,15.61,992.24,29.3,0.03,75.73,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 6:30,33.8,33.8,14.14,8.13,-1.23,21.99,14.89,11.98,992.46,29.31,0.03,76.51,0,0.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 7:00,33.8,32.9,14.27,8.09,-1.82,22.79,16.5,13.93,993.09,29.33,0.03,75.93,0,0.02,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 7:30,33.8,32,14.41,8.06,-1.34,19.28,15.85,14.67,993.98,29.35,0.03,75.36,0,1.57,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 8:00,33.8,32,14.34,7.93,-0.71,19.89,14.36,16.1,993.89,29.35,0.03,75.17,63.81,25.09,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 8:30,33.8,32,14.14,7.64,-2.79,24.41,18.37,19.67,993.66,29.34,0.03,74.84,156.48,56.01,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 9:00,33.8,32,14.486,7.68373,-1.77395,24.1142,17.0186,15.91,994.319,29.3622,0,73.8589,258.504,48.9088,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 9:30,32.9,32,15.116,8.05986,-1.72142,25.0537,18.8574,17.82,994.601,29.3705,0,73.0841,357.815,136.697,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 10:00,32.9,32,15.71,8.41625,0.643888,22.5036,15.1687,8.26,994.904,29.3795,0,72.3702,448.743,181.479,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 10:30,32.9,32,15.548,7.81018,0.258738,20.1772,15.5467,11.45,995.16,29.3871,0,70.9138,527.987,194.199,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 11:00,32.9,32.9,15.728,7.43342,0.759529,22.3694,14.9741,358.2,995.08,29.3847,0,69.1691,593.312,262.071,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 11:30,32.9,32.9,15.944,7.95293,-0.471994,23.5326,18.4324,7.407,995.073,29.3845,0,70.1528,643.126,356.604,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 12:00,32.9,33.8,16.448,9.02101,0.976187,23.5326,16.5287,0.922,995.045,29.3837,0,72.0206,676.305,335.005,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 12:30,32.9,33.8,16.394,8.16333,1.72548,20.2443,14.7369,354.9,994.813,29.3768,0,69.4514,692.136,358.909,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 13:00,32.9,32.9,17.114,8.8849,1.79281,24.0471,16.6294,5.168,994.378,29.364,0,69.5442,690.286,285.849,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 13:30,32.9,32.9,17.564,9.48431,2.17445,22.2799,17.1036,9.67,993.915,29.3503,0,70.0675,670.793,240.276,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 14:00,32.9,32,16.826,9.1944,2.60762,19.439,14.0591,354.6,994.094,29.3556,0,71.4042,634.069,166.677,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 14:30,32.9,31.1,16.376,9.02511,3.0138,18.41,12.2092,348.2,994.349,29.3631,0,72.2594,580.91,151.289,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 15:00,32.9,31.1,16.124,9.76538,1.21683,22.4365,15.0792,350.3,994.514,29.368,0,75.5245,512.529,123.656,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 15:30,32.9,31.1,16.52,11.3398,3.01641,17.2445,12.5313,355.5,994.714,29.3739,0,79.6441,430.635,136.089,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 16:00,32.9,31.1,16.484,11.9086,2.96606,20.3114,12.5403,347.5,995.372,29.3933,0,81.81,337.634,80.7556,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 16:30,32.9,31.1,16.358,12.2695,4.03563,14.1039,10.4666,340.4,995.769,29.405,0,83.5852,237.165,56.4161,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 17:00,32.9,32,16.394,11.89,4.14074,14.6877,10.3727,337.2,996.111,29.4151,0,82.0626,135.747,41.1789,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 17:30,32.9,32,16.232,12.082,2.21583,17.3922,13.3456,342.2,996.254,29.4194,0,83.3486,47.6224,15.7064,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 18:00,32.9,32,16.34,12.3324,3.26576,17.4638,11.6902,346.6,996.13,29.4157,0,83.884,0,1.92788,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 18:30,32.9,32,16.322,12.6637,2.85815,16.2223,12.3658,348.1,996.357,29.4224,0,85.1892,0,0.0207084,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 19:00,32.9,32,16.142,12.182,2.55415,16.8799,12.5045,354,996.677,29.4318,0,84.0469,0,0.0135709,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 19:30,32.9,32,16.43,11.9262,3.09817,16.8799,12.1801,0.743,996.647,29.431,0,82.0662,0,0.0145649,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 20:00,32.9,32,16.538,11.3569,4.30537,14.9808,10.395,345.3,997.462,29.455,0,79.6423,0,0.0117486,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 20:30,32.9,32,16.466,11.4722,3.63105,16.5153,11.339,341.1,998.07,29.473,0,80.3023,0,0.013778,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 21:00,32.9,32,16.52,12.4644,4.00628,15.4908,10.8335,351.2,998.418,29.4833,0,83.7188,0,0.0139575,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 21:30,32.9,31.1,17.114,12.338,4.06865,15.9292,11.9855,355.5,998.687,29.4912,0,81.1364,0,0.0134604,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 22:00,32.9,31.1,17.348,12.6518,4.95324,14.5423,10.9744,0.802,998.593,29.4884,0,81.442,0,0.0131567,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 22:30,32.9,31.1,17.6324,12.8832,6.38796,11.6925,9.30342,349.7,999.052,29.502,0,81.2746,0,0.0129082,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 23:00,32.9,31.1,17.6486,13.3273,5.21472,16.4415,11.1645,350.8,999.117,29.5039,0,82.8243,0,0.0138194,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/3/2022 23:30,32.9,32,17.6954,14.0716,5.27191,15.2,11.1668,350.7,999.376,29.5116,0,85.4081,0,0.0145235,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 0:00,32.9,32,17.7422,14.6862,5.98228,13.737,10.1132,0.314,999.334,29.5103,0,87.5636,0,0.0138884,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 0:30,32.9,32,17.7584,14.6788,5.77065,16.3677,10.4778,358.1,999.454,29.5139,0,87.4741,0,0.0148134,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 1:00,32.9,32,17.528,14.2916,7.04551,11.4732,8.22745,345.1,999.62,29.5188,0,86.8619,0,0.0123698,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 1:30,32.9,32,17.222,13.8682,5.79995,12.7147,9.42198,348.8,999.737,29.5222,0,86.3973,0,0.0127702,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 2:00,32.9,32,17.078,13.6762,6.10102,11.254,8.75089,346.4,999.732,29.5221,0,86.2062,0,0.0127978,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 2:30,32.9,32,17.24,13.8528,7.68551,11.9117,7.02622,348.9,999.941,29.5282,0,86.2716,0,0.011431,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 3:00,32.9,32,17.132,13.1288,6.32346,12.2763,8.54062,342.6,1000.22,29.5365,0,83.9561,0,0.0118176,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 3:30,32.9,32,16.25,11.305,9.89051,6.86963,3.99517,336.1,1000.47,29.5439,0,80.4588,0,0.0126597,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 4:00,32.9,31.1,15.512,9.80784,7.1827,7.74651,5.45365,323.5,1000.39,29.5415,0,77.7117,0,0.0150067,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 4:30,32.9,31.1,14.9,6.18629,5.72077,9.28105,6.14039,325.6,1000.69,29.5503,0,67.76,0,0.0130049,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 5:00,32.9,31.1,13.424,3.75984,4.17088,7.59887,5.9413,334.5,1000.9,29.5565,0,64.6762,0,0.0137228,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 5:30,32.9,30.2,12.83,3.49649,4.21779,7.67269,5.27917,323.6,1000.94,29.5577,0,65.5902,0,0.0137228,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 6:00,32.9,29.3,11.3,2.85704,5.8193,4.74902,3.04223,313.1,1001.28,29.5679,0,68.1457,0,0.0142612,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 6:30,32,29.3,7.916,1.44321,1.93774,3.87214,3.06684,312.3,1001.52,29.5749,0,74.2676,0,0.0169533,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 7:00,32,28.4,8.582,2.73714,-0.640373,8.03731,5.16061,313.7,1001.86,29.5849,0,76.5412,0,0.0377722,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 7:30,32,28.4,7.466,1.51248,-1.31276,6.35737,4.69086,306.4,1002.17,29.5942,0,76.0421,0,6.14644,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 8:00,32,28.4,9.356,2.72073,1.91335,5.84511,4.00412,302.2,1002.51,29.6042,0,73.8647,66.2252,68.2426,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 8:30,32,28.4,11.246,3.37898,5.59478,4.31058,3.12724,271.4,1002.64,29.608,0,69.981,159.794,169.567,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 9:00,32,28.4,12.776,4.05352,7.01351,4.82283,3.30172,277.9,1002.87,29.6146,0,67.4594,262.317,266.639,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
2/4/2022 9:30,32,29.3,14.972,4.63751,6.88563,7.23425,5.15838,282.4,1003.31,29.6277,0,62.9223,361.962,362.545,Yes,Bermudagrass,"0.125""","Stilwlater, OK",No,
